"Name","Fees Code"
"ভর্তি ফি                                                                                                                                                              No Description","01"
"পরীক্ষার ফি ( ১ম সাময়িক)                                                                                                                                                              No Description","02"
"জানুয়ারী টিউশন ফি                                                                                                                                                              No Description","03"
"ফেব্রুয়ারী টিউশন ফি                                                                                                                                                              No Description","04"
"মার্চ টিউশন ফি                                                                                                                                                              No Description","05"
"এপ্রিল টিউশন ফি                                                                                                                                                              No Description","06"
"মে টিউশন ফি                                                                                                                                                              No Description","07"
"জুন টিউশন ফি                                                                                                                                                              No Description","08"
"জুলাই টিউশন ফি                                                                                                                                                              No Description","09"
"আগস্ট টিউশন ফি                                                                                                                                                              No Description","10"
"সেপ্টেম্বর টিউশন ফি                                                                                                                                                              No Description","11"
"অক্টোবর টিউশন ফি                                                                                                                                                              No Description","12"
"নভেম্বর টিউশন ফি                                                                                                                                                              No Description","13"
"ডিসেম্বর টিউশন ফি                                                                                                                                                              No Description","14"
"পরিবহরন ফি                                                                                                                                                              No Description","15"
"সেশন চার্জ                                                                                                                                                              No Description","17"
"ভর্তি ফরম                                                                                                                                                              No Description","18"
"ক্রিয়া ফি                                                                                                                                                              No Description","19"
"আই.টি চার্জ ( বাষিক)                                                                                                                                                              No Description","20"
"আই.টি চার্জ (জানুয়ারী)                                                                                                                                                              No Description","21"
"পরীক্ষার ফি ( ২য় সাময়িক)                                                                                                                                                              No Description","22"
"পরীক্ষার ফি ( বার্ষিক)                                                                                                                                                              No Description","23"
"মডেল টেষ্ট ফি                                                                                                                                                              No Description","24"
"বকেয়া টিউশন ফি                                                                                                                                                              No Description","25"
"রেজিষ্টশন ফি (৬ষ্ঠ শ্রেণী)                                                                                                                                                              No Description","26"
"রেজিষ্টশন (৮ম শ্রেণী)                                                                                                                                                              No Description","27"
"রেজিষ্টশন ফি (৯ম শ্রেণী)                                                                                                                                                              No Description","28"
"বৃত্তি ফি                                                                                                                                                              No Description","29"
"T.C ফি                                                                                                                                                              No Description","30"
"বিবিধ                                                                                                                                                              No Description","31"
"প্র্র্র্র্র্র্র্র্র্র্র্র্র্র্র্র্র্রত্যয়ণ পত্র                                                                                                                                                              No Description","32"
"সিলেবাস                                                                                                                                                              No Description","33"
"ক্লাস টেষ্ট ফি                                                                                                                                                              No Description","34"
"কোচিং ফি                                                                                                                                                              No Description","35"
"ফরম ফিলাপ ফি                                                                                                                                                              No Description","36"
"স্কাউট ফি                                                                                                                                                              No Description","37"
"আই.টি (ফেব্রুয়ারী)                                                                                                                                                              No Description","38"
"আই.টি (মার্চ)                                                                                                                                                              No Description","39"
"আই.টি (এপ্রিল)                                                                                                                                                              No Description","40"
"আই.টি(মে)                                                                                                                                                              No Description","41"
"আই.টি(জুন)                                                                                                                                                              No Description","42"
"আই.টি(জুলাই)                                                                                                                                                              No Description","43"
"আই.টি(আগষ্ট)                                                                                                                                                              No Description","44"
"আই.টি (সেপ্টেম্বর)                                                                                                                                                              No Description","45"
"আই.টি(অক্টোবর)                                                                                                                                                              No Description","46"
"আই.টি(নভেম্বর)                                                                                                                                                              No Description","47"
"আই.টি(ডিসেম্বর)                                                                                                                                                              No Description","48"
"demo tai                                                                                                                                                              No Description","49"

